Característica,Total,Pneumonia,Insuf. respiratória,Asma,Outras,DPOC,SMD máx.
n,40.000,12.590,2.326,3.912,10.390,10.782,
Idade (anos) — média (DP),"59,8 (16,7)","57,5 (15,4)","72,0 (17,1)","46,7 (9,8)","57,2 (15,5)","67,1 (16,2)","1,82"
Permanência até desfecho (dias) — mediana [IQR],"4,0 [2,0–8,0]","4,0 [2,0–8,0]","4,0 [1,0–8,0]","2,0 [1,0–5,0]","4,0 [2,0–8,0]","5,0 [2,0–9,0]","0,63"
Diárias de UTI — mediana [IQR],"0,0 [0,0–0,0]","0,0 [0,0–0,0]","0,0 [0,0–2,0]","0,0 [0,0–0,0]","0,0 [0,0–0,0]","0,0 [0,0–0,0]","0,40"
Sexo — n (%),,,,,,,
   Feminino,"18.819 (47,0%)","5.919 (47,0%)","1.065 (45,8%)","1.814 (46,4%)","4.918 (47,3%)","5.103 (47,3%)","0,03"
   Masculino,"21.181 (53,0%)","6.671 (53,0%)","1.261 (54,2%)","2.098 (53,6%)","5.472 (52,7%)","5.679 (52,7%)","0,03"
Raça/cor — n (%),,,,,,,
   Amarela,"807 (2,2%)","238 (2,1%)","44 (2,1%)","89 (2,5%)","213 (2,2%)","223 (2,3%)","0,03"
   Branca,"15.365 (42,1%)","4.877 (42,3%)","893 (42,9%)","1.468 (40,6%)","3.964 (41,7%)","4.163 (42,5%)","0,05"
   Indígena,"454 (1,2%)","147 (1,3%)","25 (1,2%)","51 (1,4%)","114 (1,2%)","117 (1,2%)","0,02"
   Parda,"16.514 (45,2%)","5.190 (45,1%)","906 (43,5%)","1.693 (46,8%)","4.344 (45,6%)","4.381 (44,8%)","0,06"
   Preta,"3.382 (9,3%)","1.066 (9,3%)","213 (10,2%)","319 (8,8%)","881 (9,3%)","903 (9,2%)","0,05"
Caráter da internação — n (%),,,,,,,
   Eletivo,"4.728 (11,8%)","1.723 (13,7%)","339 (14,6%)","265 (6,8%)","1.421 (13,7%)","980 (9,1%)","0,25"
   Urgência,"35.272 (88,2%)","10.867 (86,3%)","1.987 (85,4%)","3.647 (93,2%)","8.969 (86,3%)","9.802 (90,9%)","0,25"
Uso de UTI — n (%),,,,,,,
   0,"31.684 (79,2%)","10.197 (81,0%)","1.423 (61,2%)","3.396 (86,8%)","8.494 (81,8%)","8.174 (75,8%)","0,61"
   1,"8.316 (20,8%)","2.393 (19,0%)","903 (38,8%)","516 (13,2%)","1.896 (18,2%)","2.608 (24,2%)","0,61"
Comorbidade registrada — n (%),,,,,,,
   0,"26.022 (65,1%)","8.381 (66,6%)","1.330 (57,2%)","2.844 (72,7%)","6.904 (66,4%)","6.563 (60,9%)","0,33"
   1,"13.978 (34,9%)","4.209 (33,4%)","996 (42,8%)","1.068 (27,3%)","3.486 (33,6%)","4.219 (39,1%)","0,33"
Internação no inverno — n (%),,,,,,,
   0,"26.786 (67,0%)","8.440 (67,0%)","1.558 (67,0%)","2.631 (67,3%)","6.981 (67,2%)","7.176 (66,6%)","0,01"
   1,"13.214 (33,0%)","4.150 (33,0%)","768 (33,0%)","1.281 (32,7%)","3.409 (32,8%)","3.606 (33,4%)","0,01"
