Variável,HR causa-específica,IC95% inf (causa-específica),IC95% sup (causa-específica),p (causa-específica),sHR,IC95% inf (Fine-Gray),IC95% sup (Fine-Gray),p (Fine-Gray),Divergência
grupo_diagnostico[DPOC],0.7584447981735878,0.6975096868626746,0.8247032589094738,9.78848842117805e-11,0.7637681668805252,0.6897659422691766,0.8457097937033146,2.1854191291086042e-07,Concordantes
grupo_diagnostico[Asma],0.3007372692801189,0.21403523347949793,0.4225608263824756,4.3810796147307885e-12,0.24278654782235257,0.1634743269496241,0.36057837890141575,2.3056690205035416e-12,Magnitude divergente
grupo_diagnostico[Insuf. respiratória],1.3933470172488878,1.2536872857269061,1.548564727886437,7.486360979743483e-10,1.296612872928317,1.1411008268919345,1.4733184856438977,6.752500085590502e-05,Concordantes
grupo_diagnostico[Outras],0.8407358990841908,0.7653307447138179,0.9235704391742577,0.0002965417173810962,0.8224419768293606,0.7342743225059564,0.9211963220264991,0.0007282930553198596,Concordantes
idade_ns1,1.043359667808637,1.021822295905609,1.0653509918228568,6.650606532314857e-05,1.0593306968665006,1.032955615731161,1.0863792289171572,7.4470268795808535e-06,Concordantes
idade_ns2,1.0098903574836449,0.9424329687426749,1.082176205591673,0.7802269208141549,0.9802551186471606,0.9019611970430824,1.0653452729275905,0.6386728165157216,Concordantes
idade_ns3,0.9761218756491479,0.8205443551344604,1.1611973321840419,0.7849862514402689,1.0383354094503385,0.842651658378624,1.2794615803556244,0.7240238728466364,Concordantes
sexo_feminino,1.0060416414372708,0.9427061695841539,1.0736322906980273,0.8559280819220905,1.0067819647721046,0.9303350577127154,1.0895106189832295,0.8667760447780173,Concordantes
raca_nao_branca,1.066422257015823,0.998200618703885,1.139306477024022,0.05657630009096181,1.0742719696291174,0.9913205552607238,1.1641645667554004,0.08057639117424004,Concordantes
uti,3.089959085699676,2.8818250151776033,3.313125224818536,1.193929098391985e-220,4.109157122520935,3.7732270064463043,4.4749950715176565,2.270039373619257e-231,Magnitude divergente
urgencia,1.5079488034780681,1.3443807341931242,1.6914178670342974,2.3551812193160203e-12,1.4647279832130318,1.2723822161819702,1.6861506216623245,1.0740847946949446e-07,Concordantes
comorbidade_registrada,1.369922764302284,1.279864806448852,1.4663176694112887,1.1666241239411029e-19,1.5288388674236035,1.4060812462360555,1.6623138163615683,2.7802699402246835e-23,Concordantes
inverno,1.1300027726317527,1.0554785677456169,1.2097889101460169,0.0004462725241413381,1.1215116414662314,1.0325887528811393,1.2180922544767092,0.006511794769035713,Concordantes
