level_0,level_1,test_statistic,p,-log2(p),p_ajustado,significativo
Asma,DPOC,229.6346714378239,7.16168015513768e-52,169.89996284565763,4.297008093082608e-51,True
Asma,Insuf. respiratória,614.7212564053907,1.0516531418671477e-135,448.3876338589871,1.0516531418671477e-134,True
Asma,Outras,128.1277119418304,1.0524793101074362e-29,96.26212287901076,4.209917240429745e-29,True
Asma,Pneumonia,169.4045026704615,9.982293826744441e-39,126.235824330714,4.991146913372221e-38,True
DPOC,Insuf. respiratória,317.3511202507444,5.468799315034659e-71,233.40567061557311,3.8281595205242614e-70,True
DPOC,Outras,73.55280597857184,9.797954663751307e-18,56.50222509185007,2.939386399125392e-17,True
DPOC,Pneumonia,31.114607507384463,2.4323404709661374e-08,25.293079572507025,4.864680941932275e-08,True
Insuf. respiratória,Outras,591.2662986334648,1.3288368009310416e-130,431.4404884022591,1.1959531208379375e-129,True
Insuf. respiratória,Pneumonia,500.87375466106664,6.135631182698992e-111,366.11680676850955,4.9085049461591933e-110,True
Outras,Pneumonia,11.958941680184791,0.0005438575268856812,10.844483618103702,0.0005438575268856812,True
